"Table 4.3.3.5 Shear Capacity\nAdjustment Factor, Co",,,,,
"Wall Hght, h",Max Opening Hght[1],,,,
h,h/3,h/2,2h/3,5h/6,h
8' Wall,"2'-8in","4'-0in","5'-4in","6'-8in","8'-0in"
9' Wall,"3'-0in","4'-6in","6'-0in","7'-6in","9'-0in"
10' Wall,"3'-4in","6'-0in","6'-8in","8'-4in","10'-0in"
Percent Full-Hght Sheathing [2],Effective Shear Capacity Ratio,,,,
10%,1.00,0.69,0.53,0.43,0.36
20%,1.00,0.71,0.56,0.45,0.38
30%,1.00,0.74,0.59,0.49,0.42
40%,1.00,0.77,0.63,0.53,0.45
50%,1.00,0.80,0.67,0.57,0.50
60%,1.00,0.83,0.71,0.63,0.56
70%,1.00,0.87,0.77,0.69,0.63
80%,1.00,0.91,0.83,0.77,0.71
90%,1.00,0.95,0.91,0.87,0.83
100%,1.00,1.00,1.00,1.00,1.00
